Location,Population
Low income,670891024.0
Liechtenstein,38901.0
Sri Lanka,21919000.0
Lower middle income,2761575388.0
Low & middle income,6460393883.0
Lesotho,2235727.0
Late-demographic dividend,2316152452.0
Lithuania,2810369.0
Luxembourg,630419.0
Latvia,1900449.0
"Macao SAR, China",685400.0
St. Martin (French part),31786.0
Morocco,36584208.0
Monaco,38050.0
Moldova,2635130.0
Madagascar,28953556.0
Maldives,502118.0
"Middle East, North Africa, Afghanistan & Pakistan",756405281.0
Mexico,126799054.0
Marshall Islands,42706.0
Middle income,5789502859.0
North Macedonia,1856124.0
Mali,21713836.0
Malta,515490.0
Myanmar,53016522.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",692532027.0
Montenegro,626590.0
Mongolia,3327204.0
Northern Mariana Islands,47528.0
Mozambique,30783688.0
Mauritania,4600131.0
Mauritius,1266014.0
Malawi,19533888.0
Malaysia,33889558.0
North America,369671124.0
Namibia,2728762.0
New Caledonia,284176.0
Niger,23717613.0
Nigeria,213996181.0
Nicaragua,6565267.0
Netherlands,17441500.0
Norway,5379475.0
Nepal,28966574.0
Naoero,11643.0
New Zealand,5072400.0
OECD members,1369306579.0
Oman,4522497.0
Other small states,12417333.0
Pakistan,235001746.0
Panama,4293261.0
Peru,32838579.0
Philippines,112081264.0
Palau,17792.0
Papua New Guinea,9815746.0
Poland,37515748.0
Pre-demographic dividend,997742595.0
Puerto Rico (US),3281591.0
"Korea, Dem. People's Rep.",26136312.0
Portugal,10297081.0
Paraguay,6603739.0
West Bank and Gaza,4803269.0
Pacific island small states,2595522.0
Post-demographic dividend,1117003860.0
French Polynesia,279209.0
Qatar,2794148.0
Romania,19265250.0
Russian Federation,145245148.0
Rwanda,13065837.0
South Asia,1621073417.0
Saudi Arabia,31552510.0
Sudan,46789231.0
Senegal,16789219.0
Singapore,5685807.0
Solomon Islands,744498.0
Sierra Leone,7912558.0
El Salvador,6234673.0
San Marino,34770.0
"Somalia, Fed. Rep.",16651191.0
Serbia,6899126.0
Sub-Saharan Africa (excluding high income),1168035323.0
South Sudan,10698467.0
Sub-Saharan Africa,1168133785.0
Small states,19472157.0
Sao Tome and Principe,217435.0
Suriname,612317.0
Slovak Republic,5458827.0
Slovenia,2102419.0
Sweden,10353442.0
Eswatini,1192729.0
Sint Maarten (Dutch part),41008.0
Seychelles,98462.0
Syrian Arab Republic,21049429.0
Turks and Caicos Islands,44386.0
Chad,17224679.0
East Asia & Pacific (IDA & IBRD countries),2095759417.0
Europe & Central Asia (IDA & IBRD countries),462842288.0
Togo,7788054.0
Thailand,71641484.0
Tajikistan,9749310.0
Turkmenistan,6949912.0
Latin America & the Caribbean (IDA & IBRD countries),630051021.0
Timor-Leste,1326053.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",687728758.0
Tonga,105704.0
South Asia (IDA & IBRD),1621073417.0
Sub-Saharan Africa (IDA & IBRD countries),1168133785.0
Trinidad and Tobago,1366725.0
Tunisia,11974057.0
Turkiye,83384680.0
Tuvalu,10399.0
Tanzania,60972798.0
Uganda,44457152.0
Ukraine,44680014.0
Upper middle income,3027927471.0
Uruguay,3398968.0
United States,331578104.0
Uzbekistan,33586372.0
St. Vincent and the Grenadines,103526.0
"Venezuela, RB",28444077.0
British Virgin Islands,37135.0
Virgin Islands (U.S.),106290.0
Viet Nam,98079191.0
Vanuatu,298858.0
World,7853863139.0
Samoa,211944.0
Kosovo,1790151.0
"Yemen, Rep.",36134863.0
South Africa,60562381.0
Zambia,19059395.0
Zimbabwe,15526888.0
